estimate,iteration,trueval
267151,1,268435
267373,2,268435
267423,3,268435
267475,4,268435
267501,5,268435
267513,6,268435
267585,7,268435
267613,8,268435
267651,9,268435
267677,10,268435
267687,11,268435
267693,12,268435
267713,13,268435
267725,14,268435
267753,15,268435
267831,16,268435
267833,17,268435
267891,18,268435
267935,19,268435
267951,20,268435
267961,21,268435
268055,22,268435
268073,23,268435
268109,24,268435
268121,25,268435
268121,26,268435
268123,27,268435
268141,28,268435
268163,29,268435
268165,30,268435
268181,31,268435
268183,32,268435
268191,33,268435
268193,34,268435
268195,35,268435
268261,36,268435
268319,37,268435
268339,38,268435
268353,39,268435
268355,40,268435
268363,41,268435
268411,42,268435
268421,43,268435
268429,44,268435
268445,45,268435
268455,46,268435
268487,47,268435
268489,48,268435
268507,49,268435
268561,50,268435
268561,51,268435
268565,52,268435
268575,53,268435
268591,54,268435
268607,55,268435
268635,56,268435
268683,57,268435
268727,58,268435
268767,59,268435
268803,60,268435
268805,61,268435
268841,62,268435
268849,63,268435
268849,64,268435
268871,65,268435
268885,66,268435
268889,67,268435
268901,68,268435
268909,69,268435
268931,70,268435
268991,71,268435
269001,72,268435
269009,73,268435
269025,74,268435
269071,75,268435
269087,76,268435
269101,77,268435
269109,78,268435
269115,79,268435
269129,80,268435
269201,81,268435
269245,82,268435
269261,83,268435
269277,84,268435
269283,85,268435
269391,86,268435
269399,87,268435
269407,88,268435
269469,89,268435
269475,90,268435
269501,91,268435
269539,92,268435
269599,93,268435
269635,94,268435
269649,95,268435
269767,96,268435
269785,97,268435
269817,98,268435
269873,99,268435
270277,100,268435
